YEAR,Germany,Greece,France,UK
2006,3.87338721,5.580924877,2.513287396,2.503008557
2007,3.372714941,3.168878796,2.347459068,2.555819113
2008,0.818152063,-0.234569171,0.081089486,-0.627205201
2009,-5.567440948,-4.306254041,-2.862344804,-4.327737609
2010,3.947809971,-5.458769196,1.884585285,1.915100428
2011,3.720221934,-9.176987518,2.106497048,1.50912294
2012,0.685955845,-7.323926887,0.224061091,1.313018601
2013,0.59732383,-3.172755184,0.618081023,1.911078408
2014,1.590557525,0.389409664,0.665879846,3.070483794
2015,1.485845369,-0.31155255,1.209476008,2.221502128
